freq	S(1,1)
4.70000000000000018E9	7.51431708285877153E-1 / -1.79223450636292680E2
4.79999999999999982E9	7.52979751099189709E-1 / -1.79504367638624318E2
4.90000000000000036E9	7.54402743034644985E-1 / -1.79778770410356037E2
5.00000000000000000E9	7.55711501317356316E-1 / 1.79952912799245834E2
5.09999999999999964E9	7.56915613798655151E-1 / 1.79690287078257649E2
5.20000000000000018E9	7.58023602537486063E-1 / 1.79432987973104008E2
5.29999999999999982E9	7.59043062327442808E-1 / 1.79180678827193107E2
5.40000000000000036E9	7.59980778466362494E-1 / 1.78933048337680733E2
5.50000000000000000E9	7.60842827253990084E-1 / 1.78689808323313803E2
5.59999999999999964E9	7.61634662058089695E-1 / 1.78450691691953756E2
5.70000000000000018E9	7.62361187273921903E-1 / 1.78215450594122737E2
5.79999999999999982E9	7.63026822088312073E-1 / 1.77983854748010017E2
5.90000000000000036E9	7.63635555625909035E-1 / 1.77755689921322646E2
6.00000000000000000E9	7.64190994785080058E-1 / 1.77530756555834546E2
6.09999999999999964E9	7.64696405851152949E-1 / 1.77308868521263152E2
6.20000000000000018E9	7.65154750795248528E-1 / 1.77089851986033753E2
6.29999999999999982E9	7.65568719019829480E-1 / 1.76873544393490612E2
6.40000000000000036E9	7.65940755190961475E-1 / 1.76659793533113563E2
6.50000000000000000E9	7.66273083697237212E-1 / 1.76448456697269829E2
6.59999999999999964E9	7.66567730192343166E-1 / 1.76239399914946437E2
6.70000000000000018E9	7.66826540609218199E-1 / 1.76032497254758802E2
6.79999999999999982E9	7.67051197976122889E-1 / 1.75827630190313822E2
6.90000000000000036E9	7.67243237316662796E-1 / 1.75624687021715742E2
7.00000000000000000E9	7.67404058875241724E-1 / 1.75423562347647666E2
7.09999999999999964E9	7.67534939875231892E-1 / 1.75224156583040158E2
7.20000000000000018E9	7.67637044988244099E-1 / 1.75026375517860044E2
7.29999999999999982E9	7.67711435668362441E-1 / 1.74830129913016430E2
7.40000000000000036E9	7.67759078484375390E-1 / 1.74635335129798008E2
7.50000000000000000E9	7.67780852565264205E-1 / 1.74441910789628452E2
7.59999999999999964E9	7.67777556259001592E-1 / 1.74249780461254677E2
7.70000000000000018E9	7.67749913091707725E-1 / 1.74058871372781931E2
7.79999999999999982E9	7.67698577102984991E-1 / 1.73869114146230674E2
7.90000000000000036E9	7.67624137623630443E-1 / 1.73680442552525593E2
8.00000000000000000E9	7.67527123553556123E-1 / 1.73492793285035352E2
8.09999999999999964E9	7.67408007190541674E-1 / 1.73306105749971695E2
8.19999999999999929E9	7.67267207654145356E-1 / 1.73120321872117633E2
8.30000000000000071E9	7.67105093943653227E-1 / 1.72935385914509299E2
8.40000000000000036E9	7.66921987664138172E-1 / 1.72751244310823604E2
8.50000000000000000E9	7.66718165450542344E-1 / 1.72567845509347562E2
8.59999999999999964E9	7.66493861115993624E-1 / 1.72385139827507783E2
8.69999999999999929E9	7.66249267547330071E-1 / 1.72203079316036201E2
8.80000000000000071E9	7.65984538367941248E-1 / 1.72021617631934243E2
8.90000000000000036E9	7.65699789385466190E-1 / 1.71840709919471846E2
9.00000000000000000E9	7.65395099839630522E-1 / 1.71660312698530859E2
9.09999999999999964E9	7.65070513463448520E-1 / 1.71480383759661192E2
9.19999999999999929E9	7.64726039369187127E-1 / 1.71300882065277027E2
9.30000000000000071E9	7.64361652768827415E-1 / 1.71121767656469292E2
9.40000000000000036E9	7.63977295537211454E-1 / 1.70943001564958763E2
9.50000000000000000E9	7.63572876624719044E-1 / 1.70764545729755213E2
9.59999999999999964E9	7.63148272324962029E-1 / 1.70586362918125234E2
9.69999999999999929E9	7.62703326401835469E-1 / 1.70408416650509476E2
9.80000000000000071E9	7.62237850079086598E-1 / 1.70230671129059452E2
9.90000000000000036E9	7.61751621894497166E-1 / 1.70053091169495785E2
1.00000000000000000E10	7.61244387419726198E-1 / 1.69875642136016825E2


